code,year,color,id,name
OMN,1998,"rgb(113,53,89)",'512,Oman
PAN,1998,"rgb(3,10,242)",'591,Panama
PER,1998,"rgb(22,28,205)",'604,Peru
PHL,1998,"rgb(21,24,211)",'608,The Philippines
PNG,1998,"rgb(19,66,169)",'598,Papua New Guinea
POL,1998,"rgb(12,219,24)",'616,Poland
PRT,1998,"rgb(6,204,45)",'620,Portugal
PRY,1998,"rgb(0,45,210)",'600,Paraguay
PYF,1998,"rgb(23,45,187)",'258,French polynesia
ROU,1998,"rgb(11,200,44)",'642,Romania
RUS,1998,"rgb(45,115,95)",'643,Russian Federation
RWA,1998,"rgb(21,158,76)",'646,Rwanda
SAU,1998,"rgb(27,49,179)",'682,Saudi Arabia
SCG,1998,"rgb(15,206,34)",NA,NA
SDN,1998,"rgb(253,2,0)",'729,Sudan
SEN,1998,"rgb(39,95,121)",'686,Senegal
SGP,1998,"rgb(40,31,184)",'702,Singapore
SLV,1998,"rgb(8,33,214)",'222,El Salvador
SVK,1998,"rgb(6,231,18)",'703,Slovakia
SVN,1998,"rgb(6,223,26)",'705,Slovenia
SWE,1998,"rgb(15,160,79)",'752,Sweden
SYC,1998,"rgb(17,168,70)",'690,Seychelles
TGO,1998,"rgb(47,134,74)",'768,Togo
THA,1998,"rgb(36,34,184)",'764,Thailand
TKM,1998,"rgb(18,128,110)",'795,Turkmenistan
TTO,1998,"rgb(4,10,240)",'780,Trinidad & Tobago
TUN,1998,"rgb(12,208,35)",'788,Tunisia
TUR,1998,"rgb(11,163,80)",'792,Turkey
TUV,1998,"rgb(216,2,37)",'798,Tuvalu
TZA,1998,"rgb(55,91,109)",'834,Tanzania
UGA,1998,"rgb(30,103,121)",'800,Uganda
UKR,1998,"rgb(58,125,72)",'804,Ukraine
URY,1998,"rgb(39,60,156)",'858,Uruguay
VCT,1998,"rgb(5,10,240)",'670,St. Vincent & the Grenadines
VEN,1998,"rgb(0,15,240)",'862,Venezuela
ZAF,1998,"rgb(19,113,123)",'710,South Africa
ZMB,1998,"rgb(21,90,143)",'894,Zambia
